candidate_id,name,race_id,municipality,office,site,platform_words
ON-halton-hills-council-w02-kindbom-m,Matt Kindbom,ON-halton-hills-council-w02,"Halton Hills, Town of",councillor,https://votekindbom.com,3666
ON-halton-hills-council-w03-bergsma-a,Anita Bergsma,ON-halton-hills-council-w03,"Halton Hills, Town of",councillor,https://anitabergsma.com,0
ON-halton-hills-mayor-lawlor-a,Ann Lawlor,ON-halton-hills-mayor,"Halton Hills, Town of",mayor,https://re-electlawlor.ca,0
ON-halton-hills-regional-councillor-w03-04-garneau-c,Chantal Garneau,ON-halton-hills-regional-councillor-w03-04,"Halton Hills, Town of",regional_councillor,https://www.votegarneau.ca,0
ON-hamilton-city-council-w01-wilson-m,Maureen Wilson,ON-hamilton-city-council-w01,"Hamilton, City of",councillor,https://www.maureenwilson.ca,2673
ON-hamilton-city-council-w02-abdulkarim-e,Eisham Abdulkarim,ON-hamilton-city-council-w02,"Hamilton, City of",councillor,https://sites.google.com/view/eisham-for-ward-2?usp=sharing,11646
ON-hamilton-city-council-w03-cayuga-c,Christine Cayuga,ON-hamilton-city-council-w03,"Hamilton, City of",councillor,https://christinecayugaward3.com,0
ON-hamilton-city-council-w03-nann-n,Nrinder Nann,ON-hamilton-city-council-w03,"Hamilton, City of",councillor,https://nrinder.ca,0
ON-hamilton-city-council-w04-hwang-t,Tammy Hwang,ON-hamilton-city-council-w04,"Hamilton, City of",councillor,https://tammyhwang.ca,9020
ON-hamilton-city-council-w05-francis-m,Matt Francis,ON-hamilton-city-council-w05,"Hamilton, City of",councillor,https://www.mattfrancisward5.ca,0
ON-hamilton-city-council-w06-werhun-p,Peter Werhun,ON-hamilton-city-council-w06,"Hamilton, City of",councillor,https://pete46.ca,0
ON-hamilton-city-council-w06-jackson-t,Tom Jackson,ON-hamilton-city-council-w06,"Hamilton, City of",councillor,https://www.tomjacksonward6.ca,0
ON-hamilton-city-council-w07-pauls-e,Esther Pauls,ON-hamilton-city-council-w07,"Hamilton, City of",councillor,https://www.reelectestherpauls.com,0
ON-hamilton-city-council-w09-gill-a,Abhijeet Gill,ON-hamilton-city-council-w09,"Hamilton, City of",councillor,https://Ward9Gill.ca,105
ON-hamilton-city-council-w09-clark-b,Brad Clark,ON-hamilton-city-council-w09,"Hamilton, City of",councillor,https://bradclarkreport.com/welcome-to-ward-9,2225
ON-hamilton-city-council-w09-walker-e,Eileen Walker,ON-hamilton-city-council-w09,"Hamilton, City of",councillor,https://voteeileenwalker.com,1306
ON-hamilton-city-council-w10-beattie-j,Jeff Beattie,ON-hamilton-city-council-w10,"Hamilton, City of",councillor,https://hesc.ontariopc.ca,0
ON-hamilton-city-council-w10-fung-o,Olivia Fung,ON-hamilton-city-council-w10,"Hamilton, City of",councillor,http://www.oliviafung.ca,0
ON-hamilton-city-council-w12-cassar-c,Craig Cassar,ON-hamilton-city-council-w12,"Hamilton, City of",councillor,https://www.craigcassar.ca,1247
ON-hamilton-city-council-w14-damptey-k,Kojo Damptey,ON-hamilton-city-council-w14,"Hamilton, City of",councillor,https://www.kojoforward14.ca,8368
ON-hamilton-city-council-w15-stewart-c,Colleen Stewart,ON-hamilton-city-council-w15,"Hamilton, City of",councillor,https://colleenstewart.ca,0
ON-hamilton-city-council-w15-mcmeekin-t,Ted McMeekin,ON-hamilton-city-council-w15,"Hamilton, City of",councillor,https://www.tedmcmeekin4ward15.ca,0
ON-hamilton-city-mayor-gillespie-s,Scarlett Gillespie,ON-hamilton-city-mayor,"Hamilton, City of",mayor,https://scarlettformayor.ca,4348
ON-hamilton-township-council-chatten-j,Jay Chatten,ON-hamilton-township-council,"Hamilton, Township of",councillor,https://www.jaychatten.com/,852
